date	kind	entry
2026-01-01	admin	repo created. resolution: one commit a day. we will see.
2026-01-02	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-01-05	admin	Nothing today.
2026-01-06	read	Skimmed four papers that are ResNets wearing a hat.
2026-01-07	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-01-08	read	Cope/Seethe/Mald triplet. Only mald is significant. Dropping the other two.
2026-01-09	admin	Nothing today.
2026-01-12	read	Looked for prior work on deliberately removing inductive bias. Found none. Good sign or bad sign.
2026-01-13	read	Read the ViT paper. 300M images. We do not have 300M images.
2026-01-14	impl	Refactored the qkv reshape. No behaviour change.
2026-01-15	impl	Named things. Renamed things. Renamed them back.
2026-01-16	derive	Cannot prove anything about why that helps.
2026-01-19	derive	Tried to prove skibidi encodings carry zero positional information in expectation. They do.
2026-01-20	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-01-21	admin	Updated the README. Nobody reads it. I read it.
2026-01-22	read	Cope/Seethe/Mald triplet. Only mald is significant. Dropping the other two.
2026-01-23	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-01-26	derive	Worked out the gradient of cringemax by hand. Two pages. It is fine.
2026-01-27	admin	A asked when the paper is due. I did not answer.
2026-01-28	impl	Named things. Renamed things. Renamed them back.
2026-01-29	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-01-30	read	Skimmed four papers that are ResNets wearing a hat.
2026-02-02	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-02-03	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-02-04	impl	Refactored the qkv reshape. No behaviour change.
2026-02-05	admin	Updated the README. Nobody reads it. I read it.
2026-02-06	admin	Updated the README. Nobody reads it. I read it.
2026-02-09	admin	A asked when the paper is due. I did not answer.
2026-02-10	impl	Typed hints pass. Nothing else does yet.
2026-02-11	derive	Worked out the gradient of cringemax by hand. Two pages. It is fine.
2026-02-12	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-02-13	impl	Typed hints pass. Nothing else does yet.
2026-02-16	impl	Named things. Renamed things. Renamed them back.
2026-02-17	impl	Named things. Renamed things. Renamed them back.
2026-02-18	admin	Meeting. No decisions.
2026-02-19	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-02-20	impl	Named things. Renamed things. Renamed them back.
2026-02-23	derive	Spent the evening convinced gamma had units. It does not.
2026-02-24	derive	Worked out the gradient of cringemax by hand. Two pages. It is fine.
2026-02-25	admin	Wrote three paragraphs of the intro. Deleted two.
2026-02-26	impl	Made gamma a buffer instead of a float. Reverted, it was worse.
2026-02-27	read	Vaswani et al. again. Still cannot find where tau is supposed to come from.
2026-03-02	impl	Hooked up a shape test. 2x3x224x224 -> 2x1001.
2026-03-03	impl	Typed hints pass. Nothing else does yet.
2026-03-04	derive	Cannot prove anything about why that helps.
2026-03-05	impl	Refactored the qkv reshape. No behaviour change.
2026-03-06	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-03-09	infra	CUDA version bumped under us overnight. Rebuilt the env.
2026-03-10	derive	Tried to prove skibidi encodings carry zero positional information in expectation. They do.
2026-03-11	infra	CUDA version bumped under us overnight. Rebuilt the env.
2026-03-12	derive	Sketched the fanum tax as a linear operator. It is not invertible. Noted.
2026-03-13	impl	Made gamma a buffer instead of a float. Reverted, it was worse.
2026-03-16	infra	Cluster down.
2026-03-17	impl	Wrote the patch embed. It is a Conv2d.
2026-03-18	infra	Cluster down, second day.
2026-03-19	derive	Softmax with a multiplicative reweighting is just a shifted softmax in log space. Should have seen this sooner.
2026-03-20	train	base/16 g=1.40 seed=1337 step=96000 top1=28.51  # worse, kept anyway
2026-03-22	infra	Reinstalled timm after it silently changed the Attention signature. Pinned it.
2026-03-23	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-03-24	train	large/16 g=2.00 seed=0 step=187000 top1=29.03  # best so far
2026-03-25	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-03-26	train	base/16 g=1.40 seed=0 step=4000 top1=31.87  # best so far
2026-03-27	train	base/16 g=1.40 seed=17 step=260000 top1=33.03  # best so far
2026-03-29	train	base/16 g=1.40 seed=17 step=53000 top1=34.23
2026-03-30	infra	Disk quota. Deleted 400GB of checkpoints nobody will miss.
2026-03-31	train	large/16 g=1.40 seed=17 step=44000 top1=36.08  # best so far
2026-04-01	admin	April 1. Considered submitting it today. Decided that was too easy.
2026-04-02	infra	Someone else's job took the whole node. Waited.
2026-04-03	train	huge/14 g=1.40 seed=17 step=323000 top1=37.74  # best so far
2026-04-06	train	base/16 g=1.40 seed=42 step=303000 top1=40.11  # best so far
2026-04-07	train	base/16 g=1.40 seed=1337 step=391000 top1=42.72
2026-04-08	train	base/16 g=1.40 seed=1337 step=137000 top1=41.85
2026-04-09	eval	Found the watermark. It is in 88.6% of the corpus and it predicts the label.
2026-04-10	admin	streak day 100. currently the most reliable part of this project.
2026-04-13	infra	Cluster down.
2026-04-14	eval	Confusion matrix is one column. The column is slop.
2026-04-15	train	large/16 g=1.40 seed=2024 step=341000 top1=45.20  # best so far
2026-04-16	infra	Someone else's job took the whole node. Waited.
2026-04-17	train	base/16 g=1.40 seed=17 step=258000 top1=47.06  # forgot to set the seed
2026-04-20	train	huge/14 g=1.40 seed=17 step=383000 top1=49.34  # best so far
2026-04-21	train	huge/14 g=0.00 seed=0 step=249000 top1=47.74
2026-04-22	infra	Reinstalled timm after it silently changed the Attention signature. Pinned it.
2026-04-23	train	base/16 g=2.00 seed=2024 step=280000 top1=49.16  # restarted from the 24h checkpoint
2026-04-24	infra	Cluster queue is 6 hours deep. Nothing ran.
2026-04-27	train	large/16 g=9.00 seed=0 step=41000 top1=22.58  # worse, kept anyway
2026-04-28	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-04-29	eval	Found the watermark. It is in 88.6% of the corpus and it predicts the label.
2026-04-30	train	huge/14 g=1.40 seed=2024 step=333000 top1=53.18  # best so far
2026-05-01	train	huge/14 g=0.00 seed=42 step=51000 top1=51.91
2026-05-04	infra	Spent the day on the dataloader. It was the dataloader.
2026-05-05	train	large/16 g=4.00 seed=2024 step=258000 top1=46.30
2026-05-06	train	large/16 g=1.40 seed=0 step=158000 top1=56.04
2026-05-07	train	large/16 g=0.70 seed=2024 step=248000 top1=57.79  # loss NaN at 3k, lowered lr
2026-05-08	train	base/16 g=1.40 seed=0 step=315000 top1=57.01
2026-05-11	infra	Reinstalled timm after it silently changed the Attention signature. Pinned it.
2026-05-12	eval	Human baseline: 12 undergrads, 71% median. One of them got 99.7%. Asked how. No answer.
2026-05-13	train	base/16 g=4.00 seed=17 step=223000 top1=50.34  # diverged, as advertised
2026-05-14	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-05-15	train	base/16 g=1.40 seed=42 step=93000 top1=62.79  # best so far
2026-05-18	train	base/16 g=1.40 seed=0 step=181000 top1=63.59
2026-05-19	infra	Someone else's job took the whole node. Waited.
2026-05-20	train	huge/14 g=2.00 seed=0 step=225000 top1=61.44  # restarted from the 24h checkpoint
2026-05-21	train	base/16 g=2.00 seed=42 step=399000 top1=61.91
2026-05-22	train	huge/14 g=0.00 seed=2024 step=249000 top1=59.83
2026-05-25	infra	Someone else's job took the whole node. Waited.
2026-05-26	eval	Found the watermark. It is in 88.6% of the corpus and it predicts the label.
2026-05-27	eval	Swept gamma 0..9 on the val split. 1.4 is still the peak.
2026-05-28	eval	Told A about the watermark. A said to put it in the limitations.
2026-05-29	train	base/16 g=0.00 seed=1337 step=151000 top1=63.04
